Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
CHN 1,Chennai,Tamil Nadu,30.0,55.72,Good,64.09,46.36,17.73,baseline_pue; load_growth_rate; energy_pct_opex,52.27,58.02,51.72,59.71,53.72,57.72,HIGH
HOU2,Houston,TX,24.0,55.36,Good,62.06,44.37,17.69,baseline_pue; load_growth_rate; energy_pct_opex,51.9,57.61,51.37,59.34,51.76,55.76,HIGH
SDC Seattle,Seattle,WA,54.0,59.73,Good,66.54,48.86,17.68,baseline_pue; load_growth_rate; energy_pct_opex,56.34,62.06,55.73,63.72,56.13,60.13,HIGH
TOR1,Vaughan,Ontario,39.0,56.79,Good,65.15,47.53,17.62,baseline_pue; load_growth_rate; energy_pct_opex,53.42,59.08,52.8,60.78,54.79,58.79,HIGH
Microsoft Gävle,Gävle,,60.0,56.65,Good,66.64,49.03,17.61,baseline_pue; load_growth_rate; energy_pct_opex,53.3,58.96,52.65,60.64,56.25,60.25,HIGH
Equinix DC21,Ashburn,VA,30.0,55.33,Good,63.63,46.03,17.6,baseline_pue; load_growth_rate; energy_pct_opex,51.93,57.58,51.34,59.31,53.33,57.33,HIGH
CoreSite VA3,Reston,VA,30.0,55.33,Good,63.63,46.03,17.6,baseline_pue; load_growth_rate; energy_pct_opex,51.93,57.58,51.34,59.31,53.33,57.33,HIGH
CyrusOne Sterling I,Sterling,VA,30.0,55.33,Good,63.63,46.03,17.6,baseline_pue; load_growth_rate; energy_pct_opex,51.93,57.58,51.34,59.31,53.33,57.33,HIGH
CyrusOne Sterling II,Sterling,VA,30.0,55.33,Good,63.63,46.03,17.6,baseline_pue; load_growth_rate; energy_pct_opex,51.93,57.58,51.34,59.31,53.33,57.33,HIGH
Equinix DC22,Ashburn,VA,32.0,55.48,Good,63.76,46.24,17.52,baseline_pue; load_growth_rate; energy_pct_opex,52.13,57.72,51.5,59.45,53.48,57.48,HIGH
Cloud House LHR30,London,,4.5,76.23,Excellent,82.39,64.89,17.5,baseline_pue; load_growth_rate; energy_pct_opex,71.97,76.88,72.67,79.77,74.23,78.23,HIGH
EcoDataCenter Horndal,Horndal,,75.0,58.46,Good,66.82,49.32,17.5,baseline_pue; load_growth_rate; energy_pct_opex,55.18,60.75,54.48,62.45,56.46,60.46,HIGH
PNW1,Quincy,WA,90.0,58.61,Good,66.94,49.52,17.42,baseline_pue; load_growth_rate; energy_pct_opex,55.37,60.87,54.63,62.58,56.61,60.61,HIGH
EcoDataCenter Falun,Falun,,90.0,58.61,Good,66.94,49.52,17.42,baseline_pue; load_growth_rate; energy_pct_opex,55.37,60.87,54.63,62.58,56.61,60.61,HIGH
Sabey Ashburn SDC1,Ashburn,VA,36.0,57.34,Good,63.97,46.58,17.39,baseline_pue; load_growth_rate; energy_pct_opex,54.06,59.54,53.37,61.3,53.74,57.74,HIGH
QTS Manassas DC1,Manassas,VA,36.0,55.74,Good,63.97,46.58,17.39,baseline_pue; load_growth_rate; energy_pct_opex,52.46,57.94,51.77,59.7,53.74,57.74,HIGH
AWS IAD10,Sterling,VA,36.0,54.14,Good,63.97,46.58,17.39,baseline_pue; load_growth_rate; energy_pct_opex,50.86,56.34,50.17,58.1,53.74,57.74,HIGH
